地域,食料費,住居費,教育費,教養娯楽費,書籍・他の印刷物費
北海道,63638 ,22131 ,10413 ,32700 ,4716 
青森県,65700 ,12583 ,10504 ,25292 ,4478 
岩手県,68745 ,20098 ,10436 ,29549 ,4574 
宮城県,67836 ,27830 ,11740 ,28400 ,4111 
秋田県,66097 ,17046 ,10211 ,28850 ,4296 
山形県,68382 ,21475 ,15724 ,30999 ,3897 
福島県,65103 ,22747 ,11036 ,31914 ,4827 
茨城県,65872 ,17044 ,12366 ,38111 ,4837 
栃木県,67706 ,17563 ,9913 ,31235 ,4285 
群馬県,67016 ,14996 ,8262 ,27384 ,4551 
埼玉県,75794 ,21632 ,26682 ,45519 ,5245 
千葉県,77938 ,12054 ,19285 ,41618 ,5210 
東京都,77554 ,24121 ,20439 ,38546 ,4778 
神奈川県,73957 ,19885 ,18569 ,38756 ,5058 
新潟県,70771 ,17219 ,11116 ,31784 ,4709 
富山県,73941 ,12789 ,12622 ,35619 ,4529 
石川県,75563 ,14161 ,8737 ,33341 ,4452 
福井県,67906 ,16500 ,7057 ,28791 ,4124 
山梨県,65886 ,16967 ,13414 ,30138 ,4140 
長野県,66932 ,18500 ,14187 ,32172 ,4490 
岐阜県,68749 ,10294 ,15049 ,31583 ,4356 
静岡県,67975 ,23138 ,11156 ,30404 ,4002 
愛知県,71963 ,24104 ,12968 ,30312 ,4368 
三重県,66936 ,16007 ,9006 ,37190 ,4305 
滋賀県,72872 ,12350 ,19631 ,31668 ,4817 
京都府,75194 ,21359 ,11687 ,31012 ,4553 
大阪府,69409 ,25121 ,13209 ,26958 ,4000 
兵庫県,67592 ,9073 ,10108 ,29485 ,4281 
奈良県,75327 ,17902 ,13907 ,47672 ,4898 
和歌山県,59784 ,12301 ,8746 ,25639 ,3787 
鳥取県,62188 ,20104 ,8633 ,26811 ,3515 
島根県,69729 ,19650 ,12597 ,31403 ,4654 
岡山県,65477 ,19061 ,8172 ,34692 ,4113 
広島県,70640 ,19150 ,14627 ,34460 ,4509 
山口県,65018 ,26212 ,10660 ,31402 ,4218 
徳島県,61495 ,19085 ,10285 ,28797 ,4530 
香川県,65673 ,13505 ,14652 ,38937 ,4867 
愛媛県,64084 ,23223 ,11500 ,31624 ,4724 
高知県,66023 ,20450 ,14107 ,25735 ,4511 
福岡県,67550 ,20874 ,12936 ,34656 ,4825 
佐賀県,65189 ,18699 ,14109 ,30011 ,4229 
長崎県,63214 ,24438 ,12105 ,27621 ,3721 
熊本県,63356 ,15557 ,11833 ,29763 ,4005 
大分県,63234 ,16616 ,11476 ,27507 ,4158 
宮崎県,58689 ,21774 ,10269 ,28562 ,3534 
鹿児島県,60832 ,23057 ,12134 ,27920 ,3630 
沖縄県,50801 ,21039 ,9730 ,17424 ,3183 
