地域,実収入（二人以上の世帯のうち勤労者世帯）（1世帯当たり1か月間）【千円】,食料費割合（二人以上の世帯）【％】,住居費割合（二人以上の世帯）【％】,被服及び履物費割合（二人以上の世帯）【％】,教養娯楽費割合（二人以上の世帯）【％】
北海道,610.8 ,25.0 ,9.0 ,3.5 ,8.6 
青森県,545.1 ,29.6 ,5.5 ,2.6 ,7.8 
岩手県,589.1 ,27.5 ,6.2 ,3.4 ,9.5 
宮城県,619.4 ,27.4 ,7.2 ,3.3 ,9.0 
秋田県,557.6 ,28.7 ,4.4 ,2.5 ,8.5 
山形県,664.9 ,26.0 ,6.4 ,2.6 ,8.3 
福島県,650.4 ,25.7 ,7.2 ,2.8 ,9.1 
茨城県,648.6 ,24.5 ,6.1 ,3.2 ,9.1 
栃木県,733.1 ,27.0 ,5.4 ,3.3 ,9.9 
群馬県,555.3 ,26.9 ,6.3 ,4.2 ,9.6 
埼玉県,733.6 ,27.1 ,4.0 ,4.0 ,10.0 
千葉県,694.7 ,29.0 ,6.1 ,3.4 ,10.3 
東京都,734.8 ,28.6 ,7.8 ,3.6 ,11.8 
神奈川県,672.2 ,28.5 ,3.8 ,4.0 ,12.0 
新潟県,636.3 ,27.5 ,8.0 ,3.1 ,8.4 
富山県,647.0 ,26.5 ,5.9 ,2.8 ,7.9 
石川県,644.9 ,28.3 ,4.8 ,3.3 ,10.4 
福井県,677.8 ,27.4 ,4.9 ,2.8 ,9.3 
山梨県,493.8 ,26.3 ,5.9 ,3.1 ,8.6 
長野県,600.1 ,25.3 ,5.0 ,2.9 ,9.9 
岐阜県,659.4 ,23.9 ,4.0 ,3.1 ,8.1 
静岡県,614.4 ,28.3 ,6.5 ,3.0 ,9.6 
愛知県,571.8 ,29.4 ,4.5 ,3.8 ,10.3 
三重県,586.7 ,24.5 ,6.1 ,2.6 ,10.0 
滋賀県,580.8 ,27.2 ,4.4 ,3.1 ,9.9 
京都府,616.4 ,27.3 ,7.6 ,3.0 ,9.5 
大阪府,551.9 ,31.4 ,7.7 ,3.0 ,9.5 
兵庫県,511.3 ,30.7 ,5.8 ,3.4 ,10.5 
奈良県,691.1 ,27.2 ,3.8 ,3.3 ,9.8 
和歌山県,574.5 ,28.8 ,6.1 ,2.8 ,8.8 
鳥取県,556.7 ,26.8 ,4.5 ,2.8 ,9.7 
島根県,644.1 ,25.9 ,5.4 ,2.8 ,8.4 
岡山県,617.3 ,27.1 ,4.6 ,4.0 ,9.7 
広島県,591.1 ,27.3 ,8.9 ,3.4 ,8.7 
山口県,590.1 ,26.6 ,6.3 ,3.0 ,9.7 
徳島県,597.3 ,24.9 ,6.3 ,3.7 ,9.9 
香川県,632.8 ,26.9 ,5.1 ,3.1 ,9.2 
愛媛県,446.2 ,31.8 ,7.9 ,3.2 ,8.3 
高知県,563.5 ,27.2 ,6.9 ,3.1 ,9.1 
福岡県,653.1 ,26.0 ,6.8 ,3.5 ,9.8 
佐賀県,629.3 ,27.3 ,6.7 ,2.8 ,8.2 
長崎県,583.4 ,29.2 ,7.6 ,3.0 ,7.0 
熊本県,534.2 ,27.1 ,6.4 ,3.5 ,9.4 
大分県,596.6 ,24.4 ,8.2 ,3.2 ,8.7 
宮崎県,524.7 ,28.4 ,6.5 ,3.1 ,7.6 
鹿児島県,512.4 ,26.5 ,8.2 ,3.0 ,8.5 
沖縄県,492.6 ,29.2 ,11.0 ,2.5 ,7.4 
