地域,実収入（二人以上の世帯のうち勤労者世帯）（1世帯当たり1か月間）【千円】,食料費割合（二人以上の世帯）【％】,住居費割合（二人以上の世帯）【％】,被服及び履物費割合（二人以上の世帯）【％】,教養娯楽費割合（二人以上の世帯）【％】
北海道,611 ,25 ,9 ,4 ,9 
青森県,545 ,30 ,6 ,3 ,8 
岩手県,589 ,28 ,6 ,3 ,10 
宮城県,619 ,27 ,7 ,3 ,9 
秋田県,558 ,29 ,4 ,3 ,9 
山形県,665 ,26 ,6 ,3 ,8 
福島県,650 ,26 ,7 ,3 ,9 
茨城県,649 ,25 ,6 ,3 ,9 
栃木県,733 ,27 ,5 ,3 ,10 
群馬県,555 ,27 ,6 ,4 ,10 
埼玉県,734 ,27 ,4 ,4 ,10 
千葉県,695 ,29 ,6 ,3 ,10 
東京都,735 ,29 ,8 ,4 ,12 
神奈川県,672 ,29 ,4 ,4 ,12 
新潟県,636 ,28 ,8 ,3 ,8 
富山県,647 ,27 ,6 ,3 ,8 
石川県,645 ,28 ,5 ,3 ,10 
福井県,678 ,27 ,5 ,3 ,9 
山梨県,494 ,26 ,6 ,3 ,9 
長野県,600 ,25 ,5 ,3 ,10 
岐阜県,659 ,24 ,4 ,3 ,8 
静岡県,614 ,28 ,7 ,3 ,10 
愛知県,572 ,29 ,5 ,4 ,10 
三重県,587 ,25 ,6 ,3 ,10 
滋賀県,581 ,27 ,4 ,3 ,10 
京都府,616 ,27 ,8 ,3 ,10 
大阪府,552 ,31 ,8 ,3 ,10 
兵庫県,511 ,31 ,6 ,3 ,11 
奈良県,691 ,27 ,4 ,3 ,10 
和歌山県,575 ,29 ,6 ,3 ,9 
鳥取県,557 ,27 ,5 ,3 ,10 
島根県,644 ,26 ,5 ,3 ,8 
岡山県,617 ,27 ,5 ,4 ,10 
広島県,591 ,27 ,9 ,3 ,9 
山口県,590 ,27 ,6 ,3 ,10 
徳島県,597 ,25 ,6 ,4 ,10 
香川県,633 ,27 ,5 ,3 ,9 
愛媛県,446 ,32 ,8 ,3 ,8 
高知県,564 ,27 ,7 ,3 ,9 
福岡県,653 ,26 ,7 ,4 ,10 
佐賀県,629 ,27 ,7 ,3 ,8 
長崎県,583 ,29 ,8 ,3 ,7 
熊本県,534 ,27 ,6 ,4 ,9 
大分県,597 ,24 ,8 ,3 ,9 
宮崎県,525 ,28 ,7 ,3 ,8 
鹿児島県,512 ,27 ,8 ,3 ,9 
沖縄県,493 ,29 ,11 ,3 ,7 
