,農林水産業,鉱業,製造業,卸売・小売業,サービス業
北海道,"749,251","22,558","1,598,469","2,473,875","3,997,754"
青森県,"170,968","11,792","625,244","515,836","854,990"
岩手県,"143,183","6,306","573,699","459,252","837,894"
宮城県,"96,097","10,692","1,161,672","1,157,252","1,689,375"
秋田県,"96,233","11,052","449,100","358,622","691,716"
山形県,"129,104","4,655","709,549","372,736","693,827"
福島県,"98,828","6,798","1,619,457","625,972","1,310,891"
茨城県,"220,617","6,418","3,464,435","1,055,802","1,974,822"
栃木県,"116,790","15,919","2,850,130","792,973","1,482,399"
群馬県,"105,575","2,551","2,801,452","799,478","1,308,532"
埼玉県,"115,781","6,772","3,853,364","2,538,113","3,925,807"
千葉県,"217,804","16,730","3,087,185","1,955,860","3,957,527"
東京都,"48,797","20,498","6,540,768","18,817,826","19,980,581"
神奈川県,"57,487","1,629","4,930,833","3,191,686","6,288,378"
新潟県,"160,731","101,325","1,584,473","981,557","1,558,512"
富山県,"36,713","9,768","1,182,600","481,692","638,915"
石川県,"37,648","4,004","958,324","570,373","900,127"
福井県,"26,845","2,250","669,581","308,445","573,741"
山梨県,"52,370","3,776","755,999","293,832","580,415"
長野県,"142,302","9,382","1,988,522","679,532","1,472,846"
岐阜県,"68,275","17,443","1,754,582","709,020","1,390,371"
静岡県,"151,504","5,880","5,368,740","1,197,095","2,538,730"
愛知県,"156,403","11,902","12,005,042","4,640,534","5,819,223"
三重県,"83,587","7,811","2,654,042","703,429","1,219,091"
滋賀県,"37,944","2,326","2,069,537","425,957","886,742"
京都府,"39,738","2,962","2,115,567","1,108,335","1,975,555"
大阪府,"36,287","2,212","5,394,294","6,649,984","8,141,466"
兵庫県,"97,368","8,319","4,411,419","2,049,963","3,824,350"
奈良県,"22,573",311,"564,725","312,302","787,693"
和歌山県,"63,092","1,597","845,510","370,884","587,010"
鳥取県,"36,708",765,"181,982","180,264","354,658"
島根県,"36,956","2,354","329,809","211,446","456,164"
岡山県,"73,327","7,770","1,852,599","754,754","1,360,633"
広島県,"79,813","2,992","2,725,631","1,489,057","2,120,501"
山口県,"36,097","8,173","1,927,149","444,771","979,697"
徳島県,"56,900","1,321","810,265","264,004","508,821"
香川県,"45,447","3,632","680,983","513,348","743,444"
愛媛県,"90,200","4,102","922,182","542,464","889,016"
高知県,"92,914","8,975","175,411","261,711","561,274"
福岡県,"129,107","20,835","2,369,855","2,565,225","4,186,285"
佐賀県,"72,453","3,299","576,106","227,095","510,129"
長崎県,"111,936","5,244","406,433","486,164","1,004,924"
熊本県,"190,936","5,312","899,943","606,134","1,223,715"
大分県,"90,986","13,227","935,179","356,110","767,075"
宮崎県,"158,375","2,975","515,179","392,815","782,863"
鹿児島県,"197,293","29,842","601,246","603,299","1,172,568"
沖縄県,"61,503","7,111","163,959","422,522","1,097,931"
北海道,"722,267","22,752","1,574,728","2,508,293","4,009,871"
青森県,"171,976","11,808","595,334","518,542","856,514"
岩手県,"146,032","5,650","560,159","462,103","826,264"
宮城県,"107,648","8,724","1,045,421","1,176,877","1,654,834"
秋田県,"114,452","11,247","405,871","371,423","688,701"
山形県,"138,974","4,344","731,567","376,795","695,653"
福島県,"120,528","6,332","1,596,798","641,321","1,279,200"
茨城県,"233,143","5,823","3,274,930","1,074,286","1,954,692"
栃木県,"145,844","14,558","2,857,979","790,457","1,484,823"
群馬県,"107,891","2,232","2,575,888","807,664","1,292,852"
埼玉県,"120,735","6,628","3,891,393","2,574,049","3,886,302"
千葉県,"217,446","10,735","3,280,157","1,961,624","3,951,766"
東京都,"48,396","21,542","6,408,783","19,258,686","19,504,979"
神奈川県,"58,348","1,715","5,130,199","3,244,797","6,197,981"
新潟県,"171,928","95,760","1,525,198","997,151","1,569,484"
富山県,"44,557","8,864","1,136,151","486,515","645,619"
石川県,"43,005","4,193","923,798","569,320","894,953"
福井県,"30,818","2,015","669,931","304,903","572,305"
山梨県,"54,955","3,123","709,476","294,414","577,668"
長野県,"145,535","8,980","1,880,751","676,170","1,445,064"
岐阜県,"71,001","15,002","1,676,104","716,590","1,389,013"
静岡県,"147,397","5,772","5,476,220","1,318,531","2,481,069"
愛知県,"163,046","11,872","11,896,771","4,643,458","5,692,432"
三重県,"86,171","7,404","2,675,824","715,237","1,203,349"
滋賀県,"41,235","2,529","2,096,480","431,888","874,741"
京都府,"41,119","2,925","1,993,184","1,126,633","1,962,344"
大阪府,"36,413","2,407","5,136,413","6,674,803","8,164,189"
兵庫県,"100,951","7,948","4,277,260","2,070,726","3,684,051"
奈良県,"22,901",310,"566,545","315,776","791,081"
和歌山県,"68,737","2,212","894,609","350,621","591,397"
鳥取県,"38,607",807,"187,527","183,873","355,908"
島根県,"39,302","2,687","328,992","211,530","451,733"
岡山県,"72,373","7,977","1,942,841","774,121","1,355,552"
広島県,"78,874","3,150","2,410,105","1,525,675","2,106,616"
山口県,"41,987","7,888","1,853,273","444,455","978,004"
徳島県,"60,500","1,198","763,446","269,417","502,098"
香川県,"46,051","3,606","707,732","498,205","743,168"
愛媛県,"95,889","3,897","941,317","552,350","886,410"
高知県,"82,287","8,504","173,883","261,396","549,949"
福岡県,"135,698","18,246","2,391,089","2,562,489","4,143,678"
佐賀県,"68,939","3,016","540,544","227,921","512,724"
長崎県,"113,163","4,721","507,759","485,990","999,246"
熊本県,"189,161","5,026","872,466","617,024","1,215,897"
